"AccessionID","Clade"
"EPI_ISL_1055037","GH"
"EPI_ISL_1055361","G"
"EPI_ISL_1055362","G"
"EPI_ISL_1055363","G"
"EPI_ISL_1055364","G"
"EPI_ISL_1055365","G"
"EPI_ISL_1059900","GH"
"EPI_ISL_1059901","GH"
"EPI_ISL_1059902","GH"
"EPI_ISL_1068849","G"
"EPI_ISL_1068850","G"
"EPI_ISL_1068851","G"
"EPI_ISL_1068927","G"
"EPI_ISL_1068928","G"
"EPI_ISL_1068929","G"
"EPI_ISL_1068996","G"
"EPI_ISL_1068997","G"
"EPI_ISL_1068998","G"
"EPI_ISL_1068999","G"
"EPI_ISL_1069076","G"
"EPI_ISL_1069078","G"
"EPI_ISL_1081327","G"
"EPI_ISL_1081333","G"
"EPI_ISL_1114717","G"
"EPI_ISL_1114718","G"
"EPI_ISL_1114719","G"
"EPI_ISL_1114720","G"
"EPI_ISL_1114721","G"
"EPI_ISL_1114722","G"
"EPI_ISL_1114723","G"
"EPI_ISL_1114724","G"
"EPI_ISL_1114726","GR"
"EPI_ISL_1114734","GR"
"EPI_ISL_1114744","GR"
"EPI_ISL_1114765","G"
"EPI_ISL_1138598","G"
"EPI_ISL_1138750","G"
"EPI_ISL_1186028","GH"
"EPI_ISL_1196660","G"
"EPI_ISL_1196705","G"
"EPI_ISL_1196706","G"
"EPI_ISL_1196794","G"
"EPI_ISL_1196796","G"
"EPI_ISL_1196797","G"
"EPI_ISL_1196864","G"
"EPI_ISL_1196866","GH"
"EPI_ISL_1196867","G"
"EPI_ISL_1196930","O"
"EPI_ISL_1204503","G"
"EPI_ISL_1263458","GH"
"EPI_ISL_1263460","GRY"
"EPI_ISL_1263540","GH"
"EPI_ISL_1264762","GH"
"EPI_ISL_1318203","GH"
"EPI_ISL_1318204","GH"
"EPI_ISL_1318205","GH"
"EPI_ISL_1318206","GH"
"EPI_ISL_1318207","GH"
"EPI_ISL_1318208","GH"
"EPI_ISL_1318209","GH"
"EPI_ISL_1318210","GH"
"EPI_ISL_1318211","GH"
"EPI_ISL_1318212","GH"
"EPI_ISL_1318213","GH"
"EPI_ISL_1318214","GH"
"EPI_ISL_1318215","GH"
"EPI_ISL_1318216","GH"
"EPI_ISL_1318217","GH"
"EPI_ISL_1318218","GH"
"EPI_ISL_1318219","GH"
"EPI_ISL_1334365","GH"
"EPI_ISL_1405917","G"
"EPI_ISL_1405966","G"
"EPI_ISL_1406146","G"
"EPI_ISL_1406148","G"
"EPI_ISL_1406153","G"
"EPI_ISL_1406178","G"
"EPI_ISL_1406185","GH"
"EPI_ISL_1406187","GH"
"EPI_ISL_1406192","G"
"EPI_ISL_1406194","GH"
"EPI_ISL_1406197","G"
"EPI_ISL_1406199","G"
"EPI_ISL_1406201","G"
"EPI_ISL_1406204","G"
"EPI_ISL_1406242","G"
"EPI_ISL_1406244","G"
"EPI_ISL_1406247","G"
"EPI_ISL_1406250","G"
"EPI_ISL_1406274","G"
"EPI_ISL_1406277","G"
"EPI_ISL_1424064","GH"
"EPI_ISL_1424065","G"
"EPI_ISL_1424143","GH"
"EPI_ISL_1424466","GH"
"EPI_ISL_1424467","GH"
"EPI_ISL_1424468","GH"
"EPI_ISL_1424470","GH"
"EPI_ISL_1424471","GH"
"EPI_ISL_1435783","GH"
"EPI_ISL_1435785","GH"
"EPI_ISL_1435787","G"
"EPI_ISL_1435789","G"
"EPI_ISL_1435791","G"
"EPI_ISL_1435792","G"
"EPI_ISL_1435794","GH"
"EPI_ISL_1435796","GH"
"EPI_ISL_1435798","GH"
"EPI_ISL_1435800","G"
"EPI_ISL_1435802","GH"
"EPI_ISL_1435804","GH"
"EPI_ISL_1435806","GH"
"EPI_ISL_1435808","GH"
"EPI_ISL_1435810","GH"
"EPI_ISL_1435812","GH"
"EPI_ISL_1435814","GH"
"EPI_ISL_1435816","GH"
"EPI_ISL_1435817","GH"
"EPI_ISL_1435820","GH"
"EPI_ISL_1583006","GRY"
"EPI_ISL_1583007","GRY"
"EPI_ISL_1585270","G"
"EPI_ISL_1585271","G"
"EPI_ISL_1672633","GH"
