"AccessionID","State","Lineage"
"EPI_ISL_416885","Selangor","A"
"EPI_ISL_416886","Selangor","A"
"EPI_ISL_455790","Selangor","A"
"EPI_ISL_1424513","Selangor","A.23.1"
"EPI_ISL_1973325","Sarawak","AU.2"
"EPI_ISL_2608391","Sarawak","AU.2"
"EPI_ISL_2608393","Sarawak","AU.2"
"EPI_ISL_2608396","Sarawak","AU.2"
"EPI_ISL_2608400","Sarawak","AU.2"
"EPI_ISL_2608402","Sarawak","AU.2"
"EPI_ISL_2608404","Sarawak","AU.2"
"EPI_ISL_2608412","Sarawak","AU.2"
"EPI_ISL_2614741","Sarawak","AU.2"
"EPI_ISL_2608374","Sarawak","AU.2"
"EPI_ISL_2608375","Sarawak","AU.2"
"EPI_ISL_2608376","Sarawak","AU.2"
"EPI_ISL_2608378","Sarawak","AU.2"
"EPI_ISL_2608380","Sarawak","AU.2"
"EPI_ISL_2608381","Sarawak","AU.2"
"EPI_ISL_2608383","Sarawak","AU.2"
"EPI_ISL_2608384","Sarawak","AU.2"
"EPI_ISL_2608385","Sarawak","AU.2"
"EPI_ISL_2608386","Sarawak","AU.2"
"EPI_ISL_2608387","Sarawak","AU.2"
"EPI_ISL_2608388","Sarawak","AU.2"
"EPI_ISL_2608389","Sarawak","AU.2"
"EPI_ISL_2608392","Sarawak","AU.2"
"EPI_ISL_2608394","Sarawak","AU.2"
"EPI_ISL_2608395","Sarawak","AU.2"
"EPI_ISL_2608397","Sarawak","AU.2"
"EPI_ISL_2608398","Sarawak","AU.2"
"EPI_ISL_2608399","Sarawak","AU.2"
"EPI_ISL_2608401","Sarawak","AU.2"
"EPI_ISL_2608403","Sarawak","AU.2"
"EPI_ISL_2608405","Sarawak","AU.2"
"EPI_ISL_2608406","Sarawak","AU.2"
"EPI_ISL_2608408","Sarawak","AU.2"
"EPI_ISL_2608409","Sarawak","AU.2"
"EPI_ISL_2608410","Sarawak","AU.2"
"EPI_ISL_2608411","Sarawak","AU.2"
"EPI_ISL_2608413","Sarawak","AU.2"
"EPI_ISL_2608414","Sarawak","AU.2"
"EPI_ISL_1318208","Sarawak","AU.2"
"EPI_ISL_1318218","Sarawak","AU.2"
"EPI_ISL_1318203","Sarawak","AU.2"
"EPI_ISL_1318204","Sarawak","AU.2"
"EPI_ISL_1318214","Sarawak","AU.2"
"EPI_ISL_1318216","Sarawak","AU.2"
"EPI_ISL_2535603","Sarawak","AU.2"
"EPI_ISL_2535604","Sarawak","AU.2"
"EPI_ISL_2535607","Sarawak","AU.2"
"EPI_ISL_2535614","Sarawak","AU.2"
"EPI_ISL_2535618","Sarawak","AU.2"
"EPI_ISL_2535630","Sarawak","AU.2"
"EPI_ISL_2535631","Sarawak","AU.2"
"EPI_ISL_2535632","Sarawak","AU.2"
"EPI_ISL_2535634","Sarawak","AU.2"
"EPI_ISL_2535637","Sarawak","AU.2"
"EPI_ISL_2535642","Sarawak","AU.2"
"EPI_ISL_2535648","Sarawak","AU.2"
"EPI_ISL_2535653","Sarawak","AU.2"
"EPI_ISL_2535655","Sarawak","AU.2"
"EPI_ISL_2535658","Sarawak","AU.2"
"EPI_ISL_2535659","Sarawak","AU.2"
"EPI_ISL_2535660","Sarawak","AU.2"
"EPI_ISL_2535661","Sarawak","AU.2"
"EPI_ISL_2535670","Sarawak","AU.2"
"EPI_ISL_2535672","Sarawak","AU.2"
"EPI_ISL_2535673","Sarawak","AU.2"
"EPI_ISL_2535674","Sarawak","AU.2"
"EPI_ISL_2535675","Sarawak","AU.2"
"EPI_ISL_2535678","Sarawak","AU.2"
"EPI_ISL_2535685","Sarawak","AU.2"
"EPI_ISL_2535686","Sarawak","AU.2"
"EPI_ISL_2535688","Sarawak","AU.2"
"EPI_ISL_2535692","Sarawak","AU.2"
"EPI_ISL_2535693","Sarawak","AU.2"
"EPI_ISL_2535694","Sarawak","AU.2"
"EPI_ISL_2535695","Sarawak","AU.2"
"EPI_ISL_2535696","Sarawak","AU.2"
"EPI_ISL_2535697","Sarawak","AU.2"
"EPI_ISL_2535698","Sarawak","AU.2"
"EPI_ISL_2535699","Sarawak","AU.2"
"EPI_ISL_2535700","Sarawak","AU.2"
"EPI_ISL_2535701","Sarawak","AU.2"
"EPI_ISL_2535702","Sarawak","AU.2"
"EPI_ISL_2535704","Sarawak","AU.2"
"EPI_ISL_2535705","Sarawak","AU.2"
"EPI_ISL_2535706","Sarawak","AU.2"
"EPI_ISL_2535707","Sarawak","AU.2"
"EPI_ISL_2535709","Sarawak","AU.2"
"EPI_ISL_2535710","Sarawak","AU.2"
"EPI_ISL_2535711","Sarawak","AU.2"
"EPI_ISL_2535712","Sarawak","AU.2"
"EPI_ISL_2535714","Sarawak","AU.2"
"EPI_ISL_2535715","Sarawak","AU.2"
"EPI_ISL_2535716","Sarawak","AU.2"
"EPI_ISL_2535717","Sarawak","AU.2"
"EPI_ISL_2535718","Sarawak","AU.2"
"EPI_ISL_2535720","Sarawak","AU.2"
"EPI_ISL_2535721","Sarawak","AU.2"
"EPI_ISL_2535722","Sarawak","AU.2"
"EPI_ISL_2535725","Sarawak","AU.2"
"EPI_ISL_2535726","Sarawak","AU.2"
"EPI_ISL_2535727","Sarawak","AU.2"
"EPI_ISL_2535728","Sarawak","AU.2"
"EPI_ISL_2535734","Sarawak","AU.2"
"EPI_ISL_2535738","Sarawak","AU.2"
"EPI_ISL_2535739","Sarawak","AU.2"
"EPI_ISL_2535740","Sarawak","AU.2"
"EPI_ISL_2535741","Sarawak","AU.2"
"EPI_ISL_2535742","Sarawak","AU.2"
"EPI_ISL_2535745","Sarawak","AU.2"
"EPI_ISL_2535750","Sarawak","AU.2"
"EPI_ISL_2535753","Sarawak","AU.2"
"EPI_ISL_2535754","Sarawak","AU.2"
"EPI_ISL_2535757","Sarawak","AU.2"
"EPI_ISL_2535758","Sarawak","AU.2"
"EPI_ISL_2535759","Sarawak","AU.2"
"EPI_ISL_2535760","Sarawak","AU.2"
"EPI_ISL_2535761","Sarawak","AU.2"
"EPI_ISL_2535764","Sarawak","AU.2"
"EPI_ISL_2535765","Sarawak","AU.2"
"EPI_ISL_2535769","Sarawak","AU.2"
"EPI_ISL_2535770","Sarawak","AU.2"
"EPI_ISL_2367559","Sarawak","AU.2"
"EPI_ISL_2379894","Sarawak","AU.2"
"EPI_ISL_2379895","Sarawak","AU.2"
"EPI_ISL_2379896","Sarawak","AU.2"
"EPI_ISL_2379897","Sarawak","AU.2"
"EPI_ISL_2379898","Sarawak","AU.2"
"EPI_ISL_2379899","Sarawak","AU.2"
"EPI_ISL_2379900","Sarawak","AU.2"
"EPI_ISL_2379901","Sarawak","AU.2"
"EPI_ISL_2379902","Sarawak","AU.2"
"EPI_ISL_2379903","Sarawak","AU.2"
"EPI_ISL_2379904","Sarawak","AU.2"
"EPI_ISL_2379905","Sarawak","AU.2"
"EPI_ISL_2379906","Sarawak","AU.2"
"EPI_ISL_2379907","Sarawak","AU.2"
"EPI_ISL_2379908","Sarawak","AU.2"
"EPI_ISL_2379909","Sarawak","AU.2"
"EPI_ISL_2379910","Sarawak","AU.2"
"EPI_ISL_2379911","Sarawak","AU.2"
"EPI_ISL_2379912","Sarawak","AU.2"
"EPI_ISL_2379913","Sarawak","AU.2"
"EPI_ISL_2379914","Sarawak","AU.2"
"EPI_ISL_2379915","Sarawak","AU.2"
"EPI_ISL_2379916","Sarawak","AU.2"
"EPI_ISL_2379917","Sarawak","AU.2"
"EPI_ISL_2379918","Sarawak","AU.2"
"EPI_ISL_2379919","Sarawak","AU.2"
"EPI_ISL_2379920","Sarawak","AU.2"
"EPI_ISL_2379921","Sarawak","AU.2"
"EPI_ISL_2379922","Sarawak","AU.2"
"EPI_ISL_2379923","Sarawak","AU.2"
"EPI_ISL_2379924","Sarawak","AU.2"
"EPI_ISL_2379925","Sarawak","AU.2"
"EPI_ISL_2379926","Sarawak","AU.2"
"EPI_ISL_2379927","Sarawak","AU.2"
"EPI_ISL_2379929","Sarawak","AU.2"
"EPI_ISL_2379930","Sarawak","AU.2"
"EPI_ISL_2379931","Sarawak","AU.2"
"EPI_ISL_2379932","Sarawak","AU.2"
"EPI_ISL_2379933","Sarawak","AU.2"
"EPI_ISL_2379934","Sarawak","AU.2"
"EPI_ISL_2379944","Sarawak","AU.2"
"EPI_ISL_2379945","Sarawak","AU.2"
"EPI_ISL_2379949","Sarawak","AU.2"
"EPI_ISL_2379950","Sarawak","AU.2"
"EPI_ISL_2379952","Sarawak","AU.2"
"EPI_ISL_2379954","Sarawak","AU.2"
"EPI_ISL_2379958","Sarawak","AU.2"
"EPI_ISL_2379959","Sarawak","AU.2"
"EPI_ISL_2379960","Sarawak","AU.2"
"EPI_ISL_2379963","Sarawak","AU.2"
"EPI_ISL_2379964","Sarawak","AU.2"
"EPI_ISL_2379969","Sarawak","AU.2"
"EPI_ISL_2379983","Sarawak","AU.2"
"EPI_ISL_2379984","Sarawak","AU.2"
"EPI_ISL_2379985","Sarawak","AU.2"
"EPI_ISL_2379986","Sarawak","AU.2"
"EPI_ISL_2379987","Sarawak","AU.2"
"EPI_ISL_2379988","Sarawak","AU.2"
"EPI_ISL_2379989","Sarawak","AU.2"
"EPI_ISL_2380001","Sarawak","AU.2"
"EPI_ISL_2380003","Sarawak","AU.2"
"EPI_ISL_2380006","Sarawak","AU.2"
"EPI_ISL_2380008","Sarawak","AU.2"
"EPI_ISL_2380012","Sarawak","AU.2"
"EPI_ISL_2380014","Sarawak","AU.2"
"EPI_ISL_2380015","Sarawak","AU.2"
"EPI_ISL_2380018","Sarawak","AU.2"
"EPI_ISL_2380020","Sarawak","AU.2"
"EPI_ISL_2380021","Sarawak","AU.2"
"EPI_ISL_2380022","Sarawak","AU.2"
"EPI_ISL_2380023","Sarawak","AU.2"
"EPI_ISL_2380024","Sarawak","AU.2"
"EPI_ISL_2380025","Sarawak","AU.2"
"EPI_ISL_2380026","Sarawak","AU.2"
"EPI_ISL_2380027","Sarawak","AU.2"
"EPI_ISL_2380028","Sarawak","AU.2"
"EPI_ISL_2380029","Sarawak","AU.2"
"EPI_ISL_2380030","Sarawak","AU.2"
"EPI_ISL_2380031","Sarawak","AU.2"
"EPI_ISL_2380032","Sarawak","AU.2"
"EPI_ISL_2380033","Sarawak","AU.2"
"EPI_ISL_2608379","Sarawak","AU.2"
"EPI_ISL_2608382","Sarawak","AU.2"
"EPI_ISL_2608390","Sarawak","AU.2"
"EPI_ISL_1318210","Sarawak","AU.2"
"EPI_ISL_1318219","Sarawak","AU.2"
"EPI_ISL_2367532","Sarawak","AU.2"
"EPI_ISL_2367537","Sarawak","AU.2"
"EPI_ISL_2367531","Sarawak","AU.2"
"EPI_ISL_2367525","Sarawak","AU.2"
"EPI_ISL_2367550","Sarawak","AU.2"
"EPI_ISL_2367530","Sarawak","AU.2"
"EPI_ISL_2367528","Sarawak","AU.2"
"EPI_ISL_2367539","Sarawak","AU.2"
"EPI_ISL_2367523","Sarawak","AU.2"
"EPI_ISL_2367536","Sarawak","AU.2"
"EPI_ISL_2367538","Sarawak","AU.2"
"EPI_ISL_2367522","Sarawak","AU.2"
"EPI_ISL_2367555","Sarawak","AU.2"
"EPI_ISL_2367529","Sarawak","AU.2"
"EPI_ISL_2367527","Sarawak","AU.2"
"EPI_ISL_2367556","Sarawak","AU.2"
"EPI_ISL_2367526","Sarawak","AU.2"
"EPI_ISL_2367554","Sarawak","AU.2"
"EPI_ISL_2367524","Sarawak","AU.2"
"EPI_ISL_2367546","Sarawak","AU.2"
"EPI_ISL_2367540","Sarawak","AU.2"
"EPI_ISL_2367553","Sarawak","AU.2"
"EPI_ISL_2367543","Sarawak","AU.2"
"EPI_ISL_2367542","Sarawak","AU.2"
"EPI_ISL_2367549","Sarawak","AU.2"
