"AccID","SubmittingLab"
"EPI_ISL_1055037","IMR"
"EPI_ISL_1055261","IMR"
"EPI_ISL_1055262","IMR"
"EPI_ISL_1055263","IMR"
"EPI_ISL_1055264","IMR"
"EPI_ISL_1055361","IMR"
"EPI_ISL_1055362","IMR"
"EPI_ISL_1055363","IMR"
"EPI_ISL_1055364","IMR"
"EPI_ISL_1055365","IMR"
"EPI_ISL_1059900","MGVI"
"EPI_ISL_1059901","MGVI"
"EPI_ISL_1059902","MGVI"
"EPI_ISL_1068849","IMR"
"EPI_ISL_1068850","IMR"
"EPI_ISL_1068851","IMR"
"EPI_ISL_1068927","IMR"
"EPI_ISL_1068928","IMR"
"EPI_ISL_1068929","IMR"
"EPI_ISL_1068996","IMR"
"EPI_ISL_1068997","IMR"
"EPI_ISL_1068998","IMR"
"EPI_ISL_1068999","IMR"
"EPI_ISL_1069076","IMR"
"EPI_ISL_1069078","IMR"
"EPI_ISL_1081327","IMR"
"EPI_ISL_1081333","IMR"
"EPI_ISL_1081350","IMR"
"EPI_ISL_1081351","IMR"
"EPI_ISL_1081352","IMR"
"EPI_ISL_1114717","IMR"
"EPI_ISL_1114718","IMR"
"EPI_ISL_1114719","IMR"
"EPI_ISL_1114720","IMR"
"EPI_ISL_1114721","IMR"
"EPI_ISL_1114722","IMR"
"EPI_ISL_1114723","IMR"
"EPI_ISL_1114724","IMR"
"EPI_ISL_1114726","IMR"
"EPI_ISL_1114734","IMR"
"EPI_ISL_1114744","IMR"
"EPI_ISL_1114765","IMR"
"EPI_ISL_1138598","IMR"
"EPI_ISL_1138750","IMR"
"EPI_ISL_1186028","IMR"
"EPI_ISL_1186114","IMR"
"EPI_ISL_1196660","IMR"
"EPI_ISL_1196705","IMR"
"EPI_ISL_1196706","IMR"
"EPI_ISL_1196768","IMR"
"EPI_ISL_1196770","IMR"
"EPI_ISL_1196771","IMR"
"EPI_ISL_1196794","IMR"
"EPI_ISL_1196796","IMR"
"EPI_ISL_1196797","IMR"
"EPI_ISL_1196864","IMR"
"EPI_ISL_1196866","IMR"
"EPI_ISL_1196867","IMR"
"EPI_ISL_1196930","IMR"
"EPI_ISL_1204503","IMR"
"EPI_ISL_1263458","IMR"
"EPI_ISL_1263460","IMR"
"EPI_ISL_1263540","IMR"
"EPI_ISL_1264762","IMR"
"EPI_ISL_1265161","IMR"
"EPI_ISL_1318203","UNIMAS"
"EPI_ISL_1318204","UNIMAS"
"EPI_ISL_1318205","UNIMAS"
"EPI_ISL_1318206","UNIMAS"
"EPI_ISL_1318207","UNIMAS"
"EPI_ISL_1318208","UNIMAS"
"EPI_ISL_1318209","UNIMAS"
"EPI_ISL_1318210","UNIMAS"
"EPI_ISL_1318211","UNIMAS"
"EPI_ISL_1318212","UNIMAS"
"EPI_ISL_1318213","UNIMAS"
"EPI_ISL_1318214","UNIMAS"
"EPI_ISL_1318215","UNIMAS"
"EPI_ISL_1318216","UNIMAS"
"EPI_ISL_1318217","UNIMAS"
"EPI_ISL_1318218","UNIMAS"
"EPI_ISL_1318219","UNIMAS"
"EPI_ISL_1334365","UNIMAS"
"EPI_ISL_1363119","UNIMAS"
"EPI_ISL_1363120","UNIMAS"
"EPI_ISL_1363121","UNIMAS"
"EPI_ISL_1363122","UNIMAS"
"EPI_ISL_1363123","UNIMAS"
"EPI_ISL_1405917","IMR"
"EPI_ISL_1405966","IMR"
"EPI_ISL_1406078","IMR"
"EPI_ISL_1406146","IMR"
"EPI_ISL_1406148","IMR"
"EPI_ISL_1406153","IMR"
"EPI_ISL_1406178","IMR"
"EPI_ISL_1406185","IMR"
"EPI_ISL_1406187","IMR"
"EPI_ISL_1406192","IMR"
"EPI_ISL_1406194","IMR"
"EPI_ISL_1406197","IMR"
"EPI_ISL_1406199","IMR"
"EPI_ISL_1406201","IMR"
"EPI_ISL_1406204","IMR"
"EPI_ISL_1406242","IMR"
"EPI_ISL_1406244","IMR"
"EPI_ISL_1406247","IMR"
"EPI_ISL_1406250","IMR"
"EPI_ISL_1406274","IMR"
"EPI_ISL_1406277","IMR"
"EPI_ISL_1406281","IMR"
"EPI_ISL_1406286","IMR"
"EPI_ISL_1406292","IMR"
"EPI_ISL_1406294","IMR"
"EPI_ISL_1424064","IMR"
"EPI_ISL_1424065","IMR"
"EPI_ISL_1424130","IMR"
"EPI_ISL_1424143","IMR"
"EPI_ISL_1424466","IMR"
"EPI_ISL_1424467","IMR"
"EPI_ISL_1424468","IMR"
"EPI_ISL_1424470","IMR"
"EPI_ISL_1424471","IMR"
"EPI_ISL_1424510","IMR"
"EPI_ISL_1424513","IMR"
"EPI_ISL_1424518","IMR"
"EPI_ISL_1435783","MGVI"
"EPI_ISL_1435785","MGVI"
"EPI_ISL_1435787","MGVI"
"EPI_ISL_1435789","MGVI"
"EPI_ISL_1435791","MGVI"
"EPI_ISL_1435792","MGVI"
"EPI_ISL_1435794","MGVI"
"EPI_ISL_1435796","MGVI"
"EPI_ISL_1435798","MGVI"
"EPI_ISL_1435800","MGVI"
"EPI_ISL_1435802","MGVI"
"EPI_ISL_1435804","MGVI"
"EPI_ISL_1435806","MGVI"
"EPI_ISL_1435808","MGVI"
"EPI_ISL_1435810","MGVI"
"EPI_ISL_1435812","MGVI"
"EPI_ISL_1435814","MGVI"
"EPI_ISL_1435816","MGVI"
"EPI_ISL_1435817","MGVI"
"EPI_ISL_1435820","MGVI"
"EPI_ISL_1583006","IMR"
"EPI_ISL_1583007","IMR"
"EPI_ISL_1585242","IMR"
"EPI_ISL_1585270","IMR"
"EPI_ISL_1585271","IMR"
"EPI_ISL_1672633","IMR"
"EPI_ISL_1673257","IMR"
"EPI_ISL_1673280","IMR"
"EPI_ISL_1673283","IMR"
"EPI_ISL_1673284","IMR"
"EPI_ISL_1673287","IMR"
"EPI_ISL_1673288","IMR"
"EPI_ISL_1673293","IMR"
"EPI_ISL_1673296","IMR"
"EPI_ISL_1673299","IMR"
"EPI_ISL_1673304","IMR"
"EPI_ISL_1673307","IMR"
"EPI_ISL_1673309","IMR"
"EPI_ISL_1673332","IMR"
"EPI_ISL_1673336","IMR"
"EPI_ISL_1673337","IMR"
"EPI_ISL_1673341","IMR"
"EPI_ISL_1673342","IMR"
"EPI_ISL_1673344","IMR"
"EPI_ISL_1673345","IMR"
"EPI_ISL_1673420","IMR"
"EPI_ISL_1673683","IMR"
"EPI_ISL_1673735","IMR"
"EPI_ISL_1696746","IMR"
"EPI_ISL_1696747","IMR"
"EPI_ISL_1696748","IMR"
"EPI_ISL_1696749","IMR"
"EPI_ISL_1696750","IMR"
"EPI_ISL_1696751","IMR"
"EPI_ISL_1696752","IMR"
"EPI_ISL_1696753","IMR"
"EPI_ISL_1696754","IMR"
"EPI_ISL_1696755","IMR"
"EPI_ISL_1696756","IMR"
"EPI_ISL_1696757","IMR"
"EPI_ISL_1696758","IMR"
"EPI_ISL_1714796","IMR"
"EPI_ISL_1714797","IMR"
"EPI_ISL_1714798","IMR"
"EPI_ISL_1787254","IMR"
"EPI_ISL_1787317","IMR"
"EPI_ISL_1787318","IMR"
"EPI_ISL_1787319","IMR"
"EPI_ISL_1787320","IMR"
"EPI_ISL_1787321","IMR"
"EPI_ISL_1787322","IMR"
"EPI_ISL_1787323","IMR"
"EPI_ISL_1787324","IMR"
"EPI_ISL_1787689","IMR"
"EPI_ISL_1787983","IMR"
"EPI_ISL_1788079","IMR"
"EPI_ISL_1788080","IMR"
"EPI_ISL_1788081","IMR"
"EPI_ISL_1788082","IMR"
"EPI_ISL_1789203","IMR"
"EPI_ISL_1789204","IMR"
"EPI_ISL_1805505","IMR"
"EPI_ISL_1805508","IMR"
"EPI_ISL_1805509","IMR"
"EPI_ISL_1807185","IMR"
"EPI_ISL_1807186","IMR"
"EPI_ISL_1807188","IMR"
"EPI_ISL_1807206","IMR"
"EPI_ISL_1807207","IMR"
"EPI_ISL_1821883","IMR"
"EPI_ISL_1821884","IMR"
"EPI_ISL_1919272","IMR"
"EPI_ISL_1919273","IMR"
"EPI_ISL_1919422","IMR"
"EPI_ISL_1919645","IMR"
"EPI_ISL_1919646","IMR"
"EPI_ISL_1919647","IMR"
"EPI_ISL_1919648","IMR"
"EPI_ISL_1919649","IMR"
"EPI_ISL_1919650","IMR"
"EPI_ISL_1919651","IMR"
"EPI_ISL_1919652","IMR"
"EPI_ISL_1919653","IMR"
"EPI_ISL_1919654","IMR"
"EPI_ISL_1919858","IMR"
"EPI_ISL_1919859","IMR"
"EPI_ISL_1919860","IMR"
"EPI_ISL_1919861","IMR"
